Game Num,Block Num,Trail Num,Condition,P Inspection,Fine Size,Trail Type,Inspection,Trials Payoff,Points earned,Points Fined,True Side,Choice
1,1,1,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,2,high_enforcement,0.9,20,clear_right,1,21,-19,-20,right,left
1,1,3,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,4,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,5,high_enforcement,0.9,20,amb_right,1,20,20,0,right,right
1,1,6,high_enforcement,0.9,20,amb_left,0,1,1,0,left,left
1,1,7,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,8,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,9,high_enforcement,0.9,20,amb_right,1,21,-19,-20,right,left
1,1,10,high_enforcement,0.9,20,amb_left,0,1,1,0,left,left
1,1,11,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,12,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,13,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,14,high_enforcement,0.9,20,amb_left,0,1,1,0,left,left
1,1,15,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,16,high_enforcement,0.9,20,amb_right,0,21,-19,-20,right,left
1,1,17,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,18,high_enforcement,0.9,20,clear_left,1,1,1,0,left,left
1,1,19,high_enforcement,0.9,20,amb_left,1,40,0,-20,left,right
1,1,20,high_enforcement,0.9,20,clear_left,0,1,1,0,left,left
1,1,21,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,22,high_enforcement,0.9,20,clear_left,0,40,0,-20,left,right
1,1,23,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,24,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,25,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,26,high_enforcement,0.9,20,clear_right,1,21,-19,-20,right,left
1,1,27,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,28,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,29,high_enforcement,0.9,20,clear_left,1,1,1,0,left,left
1,1,30,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,31,high_enforcement,0.9,20,clear_right,1,21,-19,-20,right,left
1,1,32,high_enforcement,0.9,20,amb_right,1,21,-19,-20,right,left
1,1,33,high_enforcement,0.9,20,amb_right,1,21,-19,-20,right,left
1,1,34,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,35,high_enforcement,0.9,20,amb_left,1,40,0,-20,left,right
1,1,36,high_enforcement,0.9,20,clear_right,0,20,20,0,right,right
1,1,37,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,38,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,39,high_enforcement,0.9,20,amb_right,1,20,20,0,right,right
1,1,40,high_enforcement,0.9,20,amb_right,0,21,-19,-20,right,left
1,1,41,high_enforcement,0.9,20,amb_right,1,21,-19,-20,right,left
1,1,42,high_enforcement,0.9,20,amb_right,0,20,20,0,right,right
1,1,43,high_enforcement,0.9,20,amb_right,1,20,20,0,right,right
1,1,44,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,45,high_enforcement,0.9,20,clear_left,1,1,1,0,left,left
1,1,46,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,47,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,48,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,49,high_enforcement,0.9,20,amb_left,1,1,1,0,left,left
1,1,50,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,51,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,52,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,53,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,54,high_enforcement,0.9,20,clear_left,1,40,0,-20,left,right
1,1,55,high_enforcement,0.9,20,clear_left,1,1,1,0,left,left
1,1,56,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
1,1,57,high_enforcement,0.9,20,clear_left,1,1,1,0,left,left
1,1,58,high_enforcement,0.9,20,amb_left,0,40,0,-20,left,right
1,1,59,high_enforcement,0.9,20,clear_right,0,20,20,0,right,right
1,1,60,high_enforcement,0.9,20,clear_left,0,40,0,-20,left,right
1,1,61,high_enforcement,0.9,20,clear_right,1,20,20,0,right,right
